id,question
013000880,How many trees are in the image?
013000880,What type of trees are they?
013000880,How tall are the trees?
013000880,How far apart are the trees?
013000880,What is the size of the shadow?
013000880,What is the shape of the shadow?
013000880,What is the direction of the shadow?
013000880,What is the color of the trees?
013000880,Are there any other objects in the image?
013000880, Are there any other shadows in the image?
013000880, Are there any other colors in the image?
013000880, What is the terrain like in the image?
013000880, Are there any other plants in the image?
013000880, Are there any other structures in the image?
013000880, Are there any other animals in the image?
013000880, Are there any other signs of human activity in the image?
013000880, What is the time of day in the image?
013000880, What is the weather like in the image?
013000880, Is the image taken from a high or low angle?
013000880, Is the image taken from a close or far distance?
013000881,How many trees are in the image?
013000881,Are the trees on the left taller than the trees on the right?
013000881,Is the shadow on the left cast by the trees on the right?
013000881,Are there any other shadows in the image?
013000881,Are there any other objects in the image besides trees?
013000881,Is the ground in the image flat or hilly?
013000881,Are the trees on the right evenly spaced?
013000881,Are there any other trees in the image besides the ones on the left and right?
013000881,Are the trees on the left and right the same species?
013000881, Are there any other colors in the image besides green?
013000881, Are there any other shapes in the image besides trees?
013000881, Is the shadow on the left larger than the trees on the right?
013000881, Are there any other shadows in the image besides the one on the left?
013000881, Are the trees on the left and right the same size?
013000881, Are there any other trees in the image besides the ones on the left and right?
013000881, Are there any other colors in the image besides green?
013000881, Are there any other shapes in the image besides trees?
013000881, Is the shadow on the left larger than the trees on the right?
013000881, Are there any other shadows in the image besides the one on the left?
013000881, Are the trees on the left and right the same size?
013000882,How many trees are in the image?
013000882,Are the trees evenly spaced?
013000882,Are the trees of the same species?
013000882,Are there any other plants in the image?
013000882,Are there any buildings or other structures in the image?
013000882,Are there any roads or paths in the image?
013000882,Are there any bodies of water in the image?
013000882,Are there any animals in the image?
013000882,Are there any people in the image?
013000882, Are there any shadows in the image?
013000882, Are there any clouds in the image?
013000882, Are there any power lines in the image?
013000882, Are there any fences in the image?
013000882, Are there any signs in the image?
013000882, Are there any vehicles in the image?
013000882, Are there any lights in the image?
013000882, Are there any other trees in the image?
013000882, Are there any buildings in the image?
013000882, Are there any roads in the image?
013000882, Are there any other objects in the image?
013000820,How large is the area of asphalt?
013000820,What is the shape of the asphalt area?
013000820,Is there any vegetation around the asphalt?
013000820,Are there any other structures nearby?
013000820,Are there any other roads or paths leading to the asphalt area?
013000820,Are there any buildings or other structures in the vicinity?
013000820,Are there any other vehicles or people in the area?
013000820,Are there any signs or markings on the asphalt?
013000820,Are there any other colors or patterns on the asphalt?
013000820, Are there any other materials used in the asphalt area?
013000820, Are there any other objects or features in the vicinity?
013000820, Are there any changes in the terrain around the asphalt?
013000820, Are there any changes in the color of the asphalt?
013000820, Are there any changes in the texture of the asphalt?
013000820, Are there any changes in the surface of the asphalt?
013000820, Are there any changes in the slope of the asphalt?
013000820, Are there any changes in the drainage of the asphalt?
013000820, Are there any changes in the lighting of the asphalt?
013000820, Are there any changes in the shadows of the asphalt?
013000820, Are there any changes in the shadows of the surrounding area?
013000821,How many rocks are visible in the image?
013000821,What is the size of the asphalted area?
013000821,Are there any other objects visible in the image?
013000821,Is the asphalted area surrounded by any other structures?
013000821,Are there any trees or plants visible in the image?
013000821,Are there any other colors visible in the image besides the asphalt and rocks?
013000821,Are there any other shapes visible in the image besides the asphalt and rocks?
013000821,Is the asphalted area flat or sloped?
013000821,Are there any other materials visible in the image besides the asphalt and rocks?
013000821, Are there any shadows visible in the image?
013000821, Are there any other features visible in the image besides the asphalt and rocks?
013000821, Are there any other textures visible in the image besides the asphalt and rocks?
013000821, Are there any other structures visible in the image besides the asphalt and rocks?
013000821, Are there any other lines visible in the image besides the asphalt and rocks?
013000821, Are there any other objects visible in the image besides the asphalt and rocks?
013000821, Are there any other shapes visible in the image besides the asphalt and rocks?
013000821, Are there any other colors visible in the image besides the asphalt and rocks?
013000821, Are there any other materials visible in the image besides the asphalt and rocks?
013000821, Are there any other features visible in the image besides the asphalt and rocks?
013000821, Are there any other textures visible in the image besides the asphalt and rocks?
013000822,What is the size of the asphalt patch?
013000822,How many rocks are visible in the image?
013000822,Is the asphalt patch flat or sloped?
013000822,Is the asphalt patch connected to any other asphalt patches?
013000822,Are there any other objects in the image besides rocks and asphalt?
013000822,What is the color of the asphalt patch?
013000822,Are there any shadows cast by the rocks or asphalt?
013000822,Are there any other colors in the image besides the asphalt and rocks?
013000822,Is the asphalt patch larger or smaller than the rocks?
013000822, Are there any other shapes in the image besides the rocks and asphalt?
013000822, Are there any other textures in the image besides the rocks and asphalt?
013000822, Is the asphalt patch in the same plane as the rocks?
013000822, Are there any other materials in the image besides the rocks and asphalt?
013000822, Are there any other objects in the image besides the rocks and asphalt?
013000822, Are there any other patterns in the image besides the rocks and asphalt?
013000822, Is the asphalt patch in the same direction as the rocks?
013000822, Are there any other structures in the image besides the rocks and asphalt?
013000822, Are there any other lines in the image besides the rocks and asphalt?
013000822, Are there any other shapes in the image besides the rocks and asphalt?
013000822, Are there any other objects in the image besides the rocks and asphalt?
013000823,How many rocks are there?
013000823,What is the size of the largest rock?
013000823,What is the size of the smallest rock?
013000823,Are the rocks evenly spaced?
013000823,Are the rocks in a line or scattered?
013000823,Are the rocks in a pattern?
013000823,Are the rocks the same color?
013000823,Are the rocks the same shape?
013000823,Are the rocks the same size?
013000823, Are the rocks in a circle?
013000823, Are the rocks in a triangle?
013000823, Are the rocks in a square?
013000823, Are the rocks in a rectangle?
013000823, Are the rocks in a hexagon?
013000823, Are the rocks in a pentagon?
013000823, Are the rocks in a trapezoid?
013000823, Are the rocks in a parallelogram?
013000823, Are the rocks in a rhombus?
013000823, Are the rocks in a crescent shape?
013000823, Are the rocks in a star shape?
013000824,What is the size of the rocks?
013000824,How many rocks are there?
013000824,Are the rocks evenly spaced?
013000824,Are the rocks of the same size?
013000824,Are the rocks arranged in a pattern?
013000824,Are there any other objects on the asphalt surface?
013000824,What is the color of the asphalt surface?
013000824,Are there any shadows cast by the rocks?
013000824,Are there any other colors present on the asphalt surface?
013000824, Are there any cracks in the asphalt surface?
013000824, Are there any other objects in the vicinity of the rocks?
013000824, Are there any other shapes present on the asphalt surface?
013000824, Are the rocks arranged in a line?
013000824, Are the rocks arranged in a circle?
013000824, Are the rocks arranged in a triangle?
013000824, Are the rocks arranged in a square?
013000824, Are the rocks arranged in a rectangle?
013000824, Are the rocks arranged in a hexagon?
013000824, Are the rocks arranged in a pentagon?
013000824, Are the rocks arranged in a star shape?
013000825,What type of rocks are in the field?
013000825,How many rocks are in the field?
013000825,How large are the rocks?
013000825,Are the rocks scattered or in a pattern?
013000825,Is the soil in the field sandy or clay-like?
013000825,Is the soil in the field dry or moist?
013000825,Are there any plants growing in the field?
013000825,Are there any other objects in the field besides rocks?
013000825,Is the field flat or sloped?
013000825, Is the field surrounded by any other features?
013000825, Are there any other fields nearby?
013000825, Are there any roads or paths near the field?
013000825, Are there any buildings near the field?
013000825, Are there any trees near the field?
013000825, Are there any animals in the field?
013000825, Are there any signs of human activity in the field?
013000825, Is the field part of a larger landscape?
013000825, Are there any other features in the landscape?
013000825, Is the field part of a larger agricultural area?
013000825, Are there any other features in the agricultural area?
013000826,What is the size of the area of soil?
013000826,How many buildings are in the area?
013000826,What is the shape of the gray roof?
013000826,How many levels does the red roof have?
013000826,What is the color of the asphalt?
013000826,Are there any trees in the area?
013000826,Are there any other structures in the area?
013000826,How far away is the red roof from the gray roof?
013000826,What is the approximate size of the asphalt-covered area?
013000826, Are there any other colors in the area?
013000826, Are there any roads in the area?
013000826, Are there any other buildings in the area?
013000826, What is the orientation of the gray roof?
013000826, Are there any other roofs in the area?
013000826, Is the asphalt in good condition?
013000826, Are there any other materials in the area?
013000826, Are there any other colors on the roofs?
013000826, Are there any other objects in the area?
013000826, How many levels does the gray roof have?
013000826, Are there any other objects on the asphalt?
013000827,What type of vegetation is growing in the area?
013000827,Is the soil in the area sandy or clay-like?
013000827,Are there any signs of erosion in the area?
013000827,Are there any visible water sources nearby?
013000827,Are there any visible signs of human activity in the area?
013000827,Are there any visible signs of animal activity in the area?
013000827,Are there any visible signs of agricultural activity in the area?
013000827,Are there any visible signs of mining activity in the area?
013000827,Are there any visible signs of deforestation in the area?
013000827, Are there any visible signs of urbanization in the area?
013000827, Are there any visible signs of industrial activity in the area?
013000827, Are there any visible signs of pollution in the area?
013000827, Are there any visible signs of construction in the area?
013000827, Are there any visible signs of roadways in the area?
013000827, Are there any visible signs of rivers or streams in the area?
013000827, Are there any visible signs of dams or reservoirs in the area?
013000827, Are there any visible signs of quarries or mines in the area?
013000827, Are there any visible signs of power lines or other infrastructure in the area?
013000827, Are there any visible signs of landfills or other waste sites in the area?
013000827, Are there any visible signs of military activity in the area?
013000828,What type of vegetation is growing in the area?
013000828,Is the soil in the area sandy or clay-like?
013000828,Are there any visible signs of erosion?
013000828,Are there any visible signs of human activity?
013000828,Are there any visible signs of water runoff?
013000828,Are there any visible signs of animal activity?
013000828,Are there any visible signs of soil compaction?
013000828,Are there any visible signs of soil disturbance?
013000828,Are there any visible signs of soil degradation?
013000828, Are there any visible signs of soil fertility?
013000828, Are there any visible signs of soil salinity?
013000828, Are there any visible signs of soil acidity?
013000828, Are there any visible signs of soil compaction?
013000828, Are there any visible signs of soil erosion?
013000828, Are there any visible signs of soil contamination?
013000828, Are there any visible signs of soil compaction?
013000828, Are there any visible signs of soil compaction?
013000828, Are there any visible signs of soil compaction?
013000828, Are there any visible signs of soil compaction?
013000828, Are there any visible signs of soil compaction?
013000829,What is the color of the soil?
013000829,Is the soil dry or wet?
013000829,Are there any rocks or stones visible?
013000829,Is the soil flat or uneven?
013000829,Are there any plants growing in the soil?
013000829,Is the soil in a single large patch or multiple smaller patches?
013000829,Are there any other features visible in the image?
013000829,Is the soil in a single layer or multiple layers?
013000829,Is the soil in a single direction or multiple directions?
013000829, Are there any visible signs of erosion?
013000829, Are there any visible signs of human activity?
013000829, Are there any visible signs of animal activity?
013000829, Are there any visible signs of water runoff?
013000829, Are there any visible signs of water accumulation?
013000829, Are there any visible signs of wind erosion?
013000829, Are there any visible signs of soil compaction?
013000829, Are there any visible signs of soil disturbance?
013000829, Are there any visible signs of soil fertility?
013000829, Are there any visible signs of soil salinity?
013000829, Are there any visible signs of soil contamination?
013000830,What type of vegetation is growing in the soil?
013000830,Is the gravel in the bottom right corner natural or man-made?
013000830,Is the shadow cast by a tree or a building?
013000830,"Are there any other objects in the image besides soil, shadow, and gravel?"
013000830,How large is the area of soil?
013000830,Is the soil evenly distributed or is it patchy?
013000830,"Are there any other colors in the image besides the soil, shadow, and gravel?"
013000830,"Are there any other shapes in the image besides the soil, shadow, and gravel?"
013000830,Is the soil dry or wet?
013000830, Is the gravel in the bottom right corner a single layer or multiple layers?
013000830, Is the shadow in the image static or moving?
013000830, Are there any other shadows in the image besides the one in the bottom right corner?
013000830, Is the soil in the image flat or hilly?
013000830," Are there any other textures in the image besides the soil, shadow, and gravel?"
013000830, Is the soil in the image loose or compacted?
013000830," Are there any other objects in the image that are not soil, shadow, or gravel?"
013000830, Is the gravel in the bottom right corner a single color or multiple colors?
013000830, Is the soil in the image light or dark?
013000830," Are there any other patterns in the image besides the soil, shadow, and gravel?"
013000830, Is the soil in the image smooth or rough?
013000831,What is the approximate size of the area of soil and gravel?
013000831,How many distinct layers of soil and gravel are visible?
013000831,Are there any other materials visible in the image?
013000831,Is the soil at the top of the image more or less dense than the soil at the bottom?
013000831,Are there any visible signs of erosion in the image?
013000831,Are there any visible signs of water runoff in the image?
013000831,Are there any visible signs of vegetation in the image?
013000831,Are there any visible signs of human activity in the image?
013000831,Are there any visible signs of animal activity in the image?
013000831, Are there any visible signs of mineral deposits in the image?
013000831, Are there any visible signs of soil compaction in the image?
013000831, Are there any visible signs of soil disturbance in the image?
013000831, Are there any visible signs of soil layering in the image?
013000831, Are there any visible signs of soil stratification in the image?
013000831, Are there any visible signs of soil erosion in the image?
013000831, Are there any visible signs of soil deposition in the image?
013000831, Are there any visible signs of soil compaction in the image?
013000831, Are there any visible signs of soil compaction in the lower layers of the image?
013000831, Are there any visible signs of soil compaction in the upper layers of the image?
013000831, Are there any visible signs of soil compaction in the middle layers of the image?
013000832,What is the size of the soil ground?
013000832,How many rocks are visible in the image?
013000832,Is the soil ground flat or sloped?
013000832,Is the gravel evenly distributed across the soil ground?
013000832,Are there any other objects visible in the image?
013000832,Is the soil ground covered in vegetation?
013000832,Are there any other colors visible in the image?
013000832,Is the soil ground surrounded by any other features?
013000832,Are there any other materials visible in the image?
013000832, Are there any shadows visible in the image?
013000832, Are there any other shapes visible in the image?
013000832, Is the soil ground surrounded by any other landforms?
013000832, Are there any other textures visible in the image?
013000832, Are there any other structures visible in the image?
013000832, Are there any other patterns visible in the image?
013000832, Is the soil ground surrounded by any other materials?
013000832, Are there any other features visible in the image?
013000832, Are there any other objects in the bottom left corner?
013000832, Are there any other colors in the bottom left corner?
013000832, Are there any other shapes in the bottom left corner?
013000833,What is the size of the rocks?
013000833,Are the rocks evenly distributed across the soil?
013000833,Are there any other objects in the image besides the rocks and soil?
013000833,How many rocks are there in total?
013000833,Are the rocks of different shapes and sizes?
013000833,Are the rocks clustered together in any particular area?
013000833,Are there any other features in the image besides the rocks and soil?
013000833,Are the rocks in the same orientation or are they randomly placed?
013000833,Are there any other colors in the image besides the soil and rocks?
013000833, Are there any shadows cast by the rocks?
013000833, Are there any other objects in the image besides the rocks and soil?
013000833, Are there any other patterns in the image besides the rocks and soil?
013000833, Are there any other textures in the image besides the rocks and soil?
013000833, Are there any other structures in the image besides the rocks and soil?
013000833, Are there any other materials in the image besides the rocks and soil?
013000833, Are there any other shapes in the image besides the rocks and soil?
013000833, Are there any other lines in the image besides the rocks and soil?
013000833, Are there any other objects in the image that are not rocks or soil?
013000833, Are there any other objects in the image that are not visible in the image?
013000833, Are there any other objects in the image that are not related to the rocks and soil?
013000834,What type of soil is present?
013000834,Is the soil evenly distributed?
013000834,Are there any other objects in the image?
013000834,Are there any other shadows in the image?
013000834,Is the soil at the upper left darker than the soil at the lower right?
013000834,Are there any other colors in the image besides the soil?
013000834,Are there any other shapes in the image besides the soil?
013000834,Is the soil at the upper left more compact than the soil at the lower right?
013000834,Are there any other textures in the image besides the soil?
